src,tgt,hyp,ref,task,label
"You're not alone, Claire.",,"You're not alone, claire- -",src,PG,0
"Who told you to throw acid at Vargas, hmm?",,"Who told you to throw acid at Vargas, hmmm?",src,PG,0
Where the pure angel merges with the antic Sphinx,,♪ Where the pure angel merges with the antic sphinx,src,PG,0
Where is it written what is it I'm meant to be,,Where is it written what is it I'm meant to be?,src,PG,0
We'll find the skipper and then we'll go home.,,We'll find the skipper and then we'll go home.,src,PG,0
Seymour's Darling is third... and little Arnie moving fast on the outside.,,Seymour's Darling is the third... and little Arnie's moving fast on the out-of-towner.,src,PG,1
"Scud, do you read me?",,"- Scud, do you read me, please?",src,PG,1
Jumby now wants to be born.,,Jumby now wants to be born,src,PG,0
It was a difficult and long delivery.,,It was a long and difficult delivery.,src,PG,0
Is Mabel a slave?,,¿Mabel's a slave?,src,PG,0
I like to be beautiful everyday.,,I like to be beautiful everydays.,src,PG,1
"I got the joy, joy, joy, joy Down in my heart",,"♪ I got the joy, joy, joy, joy Down in my heart ♪",src,PG,0
Homicide investigators have told me that they did find a bottle of pills in his lap.,,Homicide investigators have told me that they found a bottle of pills in his lap.,src,PG,0
"He's an In-Valid, sir.",,"Oh, he's an In-Valid, sir.",src,PG,1
Hello Mr. Barthes.,,Hello Mr. Barthes.,src,PG,0
HARRY Imperio.,,HARRY ⁇ .,src,PG,1
Half that speed.,,"Half that speed, half speed.",src,PG,1
"Frankfurt, Germany.",,"It's Frankfurt, Germany.",src,PG,0
Enemy is matching velocity.,,Enemies are matching speed.,src,PG,1
Call John.,,Call the john.,src,PG,1
Bernadette wants a prenup.,,Bernadette's asking for a prenuptial.,src,PG,0
and yet i see no children emerging from the vehicle.,,And yet I see no children exiting from the vehicle.,src,PG,0
I was not advanced to Ranger.,,I wasn't advanced to ranger.,src,PG,0
It's time to breathe.,,It's time to take a breather.,src,PG,0
I'm not leaving here till I have my thousand dollars.,,I'm not leaving here until I have my thousand dollars.,src,PG,0
Braga.,,B-braga.,src,PG,1
