src,tgt,hyp,ref,task,label
"Plants producing chemical fertilizer , acid and soda make use of the phosphates from <define> Lienyunkang </define> and the salt from the Huaipei salt works .","(historical, _, or, _, obsolete)","A district of Wuhan, Hubei, China.",tgt,DM,1
"Several species of the genus Lesquerella produce as major hydroxy fatty acids either densipolic acid ( 12 - hydroxyoctadeca-9,15 - dienoic acid ) , <define> lesquerolic acid </define> ( 14 - hydroxyeicosa-11 - enoic acid ) or auricolic acid ( 14 - hydroxyeicosa-11,17 - dienoic acid ) .",(organic compound) A hydroxy acid found in the oil of most species of Lesquerella (= Physaria; the bladderpods).,(organic compound) Any of a group of flavonoids found in many plants of the genus Lesquerella.,tgt,DM,1
"<define> Odoraments </define> to smell to , of rose - water , violet flowers , balm , rose - cakes , vinegar , etc . , do much recreate the brains and spirits   [ … ]",(archaic) Something which gives off a scent; an odoriferous substance. [from 14th c.],(obsolete) An odour.,tgt,DM,1
"There is no serendipity without a flash of insight from left field , an oblique <define> eureka effect </define> .",The human experience of feeling a sudden sense of insight upon making a discovery or realization.,"(idiomatic) A sudden, unexpected, or unexpected discovery.",tgt,DM,1
"Even with the nuance , the vote was a momentous step for a church that has been mired in <define> intrafactional </define> warfare over homosexuality for more than a decade .",Within a single faction.,Between factions.,tgt,DM,1
"The ramjet should have failed , and then whoever run the race to the Power Room should have yanked his smoking body out of the way and , <define> hopeably </define> , restarted it .",(nonstandard) hopefully; in a way that one would hope for,In a hopeable manner.,tgt,DM,0
"Stone , bronze , iron , hawking , and gunpowder were added to man ’s power to destroy . But now , with the breech - loader and later improved weapons , man has become <define> omnidestructive </define> .",(rare) All-destroying.,Incapable of being destroyed.,tgt,DM,1
It 's no big deal to be <define> out </define> in the entertainment business .,"(LGBT) Openly acknowledging that one is LGBT+ (gay, trans, etc).",(informal) In a position of power or authority.,tgt,DM,1
"Not only because ' omnipotence ' as a single property is found in the creed , but because ' omnipotence ' as a single property is found in the creed , but because it is more appropriate and revealing perhaps than ' absolute causality ' ( Schleiermacher ) or ' infinity ' ( Pannenberg appealing to Gregory of Nyssa ) which for reasons internal to theology makes it possible to engage with the study of religions and philosophy of religion ; and might make concrete a provisional paraphrase of the word ' God ' understood as a <define> nomen appellativum </define> , not least as it is used in the term ' all - determining reality ' .","(grammar, rare) common noun","(philosophy, linguistics) An appellation.",tgt,DM,1
"[ ... ] As to the actual and present state of the school , it has experienced since this 2 1/2 or 3 years a perceptible decline , on one side for want of European youths , and on the other thro the continual <define> drawths </define> from them , as whenever these youths had but half concluded their studies , they were included and placed directly under the military , [ ... ]",That which is draughted or drawn; a draught.,"(archaic, or, dialectal) The act of drawing; drawing.",tgt,DM,0
The sight of the rope against the whitewashed wall and the thought of the <define> bloodsome </define> uproar which was about to smash the peace of the night into hash served to deepen that rummy feeling to which I have alluded .,"(literal, and, figurative) Marked by blood; bloody (all senses)",Resembling or characteristic of blood.,tgt,DM,0
Yet neither Pennsylvania 's <define> Quakerist </define> tendencies toward gender equality nor Connecticut 's legacy of radical Protestantism prevented these two colonies from sacrificing a widow 's rights to commercial considerations .,(uncommon) Quaker or Quaker-like.,Of or pertaining to Quakers.,tgt,DM,0
"Some bilingual speakers , including some who are <define> ambilingual </define> , can be said to have two ( occasionally more ) native languages . There is no exact criterion for this ; but one could say arbitrarily that any language learnt by the child before the age of instruction , from parents , from others , such as a nurse , looking after it , or from other children , is an L1 . It is clear , however , that only a small proportion of those who learn two or more languages in this way become ambilingual speakers ; and conversely , not all ambilinguals have two L1s .",Speaking two or more languages with complete fluency and such that there is no subject or domain of communication in which one language is preferred over others.,(linguistics) Having two or more languages as one's native language.,tgt,DM,0
"… hanging trollopy , and daggling about their heels ; but hastily <define> wrappt </define> round them as soon as I came upstairs .",(rare),"(intransitive, obsolete) To wrap (something) around oneself.",tgt,DM,1
"Today Arabic must be regarded as one of the important world languages . Its earli­est written forms are provided by pre - Islamic North and East Arabian inscriptions using a variant of the South Arabian monumental script . The attested dialects are <define> Liḥyānite </define> or Dedanite in Hedjāz , Thamūdic in north - eastern Hedjāz , Safaitic in southern Syria and Jor­dan , Hasaean in the oasis of al - Hāsa ’ , and Nabataean Arabic , represented by a few in­scriptions in Aramaic script .",Alternative spelling of Lihyanite,(linguistics) Of or pertaining to the Liḥyānite language.,tgt,DM,1
"And although I did not know this at the time , it 's also the <define> shitty stick </define> of philology , the course that no one wants to teach .",An extremely unpleasant person or situation.,"(slang, derogatory) A difficult or unappealing course of study.",tgt,DM,1
